code,name,symbol,decimal_places
EUR,Euro,,2
AED,Dirham,,2
AFN,Afghani,,2
XCD,Dollar,,2
ALL,Lek,,2
AMD,Dram,,2
AOA,Kwanza,,2
ARS,Peso,,2
USD,Dollar,,2
AUD,Dollar,,2
AWG,Guilder,,2
AZN,Manat,,2
BAM,Marka,,2
BBD,Dollar,,2
BDT,Taka,,2
XOF,Franc,,2
BGN,Lev,,2
BHD,Dinar,,2
BIF,Franc,,2
BMD,Dollar,,2
BND,Dollar,,2
BOB,Boliviano,,2
BRL,Real,,2
BSD,Dollar,,2
BTN,Ngultrum,,2
NOK,Krone,,2
BWP,Pula,,2
BYN,Belarusian ruble,,2
BZD,Dollar,,2
CAD,Dollar,,2
CDF,Franc,,2
XAF,Franc,,2
CHF,Franc,,2
NZD,Dollar,,2
CLP,Peso,,2
CNY,Yuan Renminbi,,2
COP,Peso,,2
CRC,Colon,,2
CUP,Peso,,2
CVE,Escudo,,2
XCG,Guilder,,2
CZK,Koruna,,2
DJF,Franc,,2
DKK,Krone,,2
DOP,Peso,,2
DZD,Dinar,,2
EGP,Pound,,2
MAD,Dirham,,2
ERN,Nakfa,,2
ETB,Birr,,2
FJD,Dollar,,2
FKP,Pound,,2
GBP,Pound,,2
GEL,Lari,,2
GHS,Cedi,,2
GIP,Pound,,2
GMD,Dalasi,,2
GNF,Franc,,2
GTQ,Quetzal,,2
GYD,Dollar,,2
HKD,Dollar,,2
HNL,Lempira,,2
HTG,Gourde,,2
HUF,Forint,,2
IDR,Rupiah,,2
ILS,Shekel,,2
INR,Rupee,,2
IQD,Dinar,,2
IRR,Rial,,2
ISK,Krona,,2
JMD,Dollar,,2
JOD,Dinar,,2
JPY,Yen,,2
KES,Shilling,,2
KGS,Som,,2
KHR,Riels,,2
KMF,Franc,,2
KPW,Won,,2
KRW,Won,,2
KWD,Dinar,,2
KYD,Dollar,,2
KZT,Tenge,,2
LAK,Kip,,2
LBP,Pound,,2
LKR,Rupee,,2
LRD,Dollar,,2
LSL,Loti,,2
LYD,Dinar,,2
MDL,Leu,,2
MGA,Ariary,,2
MKD,Denar,,2
MMK,Kyat,,2
MNT,Tugrik,,2
MOP,Pataca,,2
MRU,Ouguiya,,2
MUR,Rupee,,2
MVR,Rufiyaa,,2
MWK,Kwacha,,2
MXN,Peso,,2
MYR,Ringgit,,2
MZN,Metical,,2
NAD,Dollar,,2
XPF,Franc,,2
NGN,Naira,,2
NIO,Cordoba,,2
NPR,Rupee,,2
OMR,Rial,,2
PAB,Balboa,,2
PEN,Sol,,2
PGK,Kina,,2
PHP,Peso,,2
PKR,Rupee,,2
PLN,Zloty,,2
PYG,Guarani,,2
QAR,Rial,,2
RON,Leu,,2
RSD,Dinar,,2
RUB,Ruble,,2
RWF,Franc,,2
SAR,Rial,,2
SBD,Dollar,,2
SCR,Rupee,,2
SDG,Pound,,2
SSP,Pound,,2
SEK,Krona,,2
SGD,Dollar,,2
SHP,Pound,,2
SLE,Leone,,2
SOS,Shilling,,2
SRD,Dollar,,2
STN,Dobra,,2
SYP,Pound,,2
SZL,Lilangeni,,2
THB,Baht,,2
TJS,Somoni,,2
TMT,Manat,,2
TND,Dinar,,2
TOP,Pa'anga,,2
TRY,Lira,,2
TTD,Dollar,,2
TWD,Dollar,,2
TZS,Shilling,,2
UAH,Hryvnia,,2
UGX,Shilling,,2
UYU,Peso,,2
UZS,Som,,2
VES,Bolivar Soberano,,2
VND,Dong,,2
VUV,Vatu,,2
WST,Tala,,2
YER,Rial,,2
ZAR,Rand,,2
ZMW,Kwacha,,2
ZWG,Zimbabwe Gold,,2
ANG,Guilder,,2
