country_code,code,name,active
AD,07,Andorra la Vella,true
AD,02,Canillo,true
AD,03,Encamp,true
AD,08,Escaldes-Engordany,true
AD,04,La Massana,true
AD,05,Ordino,true
AD,06,Sant Julià de Loria,true
AE,01,Abu Dhabi,true
AE,02,Ajman,true
AE,03,Dubai,true
AE,04,Fujairah,true
AE,05,Ras Al Khaimah,true
AE,06,Sharjah,true
AE,07,Umm al Qaywayn,true
AF,01,Badakhshan,true
AF,02,Badghis,true
AF,03,Baghlan,true
AF,30,Balkh,true
AF,05,Bamyan,true
AF,41,Daykundi,true
AF,06,Farah,true
AF,07,Faryab,true
AF,08,Ghazni,true
AF,09,Ghowr,true
AF,10,Helmand,true
AF,11,Herat,true
AF,31,Jowzjan,true
AF,13,Kabul,true
AF,23,Kandahar,true
AF,14,Kapisa,true
AF,37,Khowst,true
AF,34,Kunar,true
AF,24,Kunduz,true
AF,35,Laghman,true
AF,17,Logar,true
AF,27,Maidan Wardak Province,true
AF,18,Nangarhar,true
AF,19,Nimroz,true
AF,38,Nuristan,true
AF,39,Oruzgan,true
AF,36,Paktia,true
AF,29,Paktika,true
AF,42,Panjshir,true
AF,40,Parwan,true
AF,32,Samangan,true
AF,33,Sar-e Pol Province,true
AF,26,Takhar,true
AF,28,Zabul,true
AG,01,Barbuda,true
AG,09,Redonda,true
AG,03,Saint George Parish,true
AG,04,Saint John Parish,true
AG,05,Saint Mary Parish,true
AG,06,Saint Paul Parish,true
AG,07,Saint Peter Parish,true
AG,08,Saint Philip Parish,true
AI,11205389,Blowing Point,true
AI,11205433,East End,true
AI,11205442,George Hill,true
AI,11205441,Island Harbour,true
AI,11205436,North Hill,true
AI,11205440,North Side,true
AI,11205392,Sandy Ground,true
AI,11205393,Sandy Hill,true
AI,11205438,South Hill,true
AI,11205443,Stoney Ground,true
AI,11205444,The Farrington,true
AI,11205439,The Quarter,true
AI,11205396,The Valley,true
AI,11205437,West End,true
AL,40,Berat County,true
AL,41,Dibër County,true
AL,42,Durrës County,true
AL,43,Elbasan County,true
AL,44,Fier County,true
AL,45,Gjirokastër County,true
AL,46,Korçë County,true
AL,47,Kukës County,true
AL,48,Lezhë County,true
AL,49,Shkodër County,true
AL,50,Tirana,true
AL,51,Vlorë County,true
AM,01,Aragatsotn,true
AM,02,Ararat,true
AM,03,Armavir,true
AM,04,Gegharkunik,true
AM,05,Kotayk,true
AM,06,Lori,true
AM,07,Shirak,true
AM,08,Syunik,true
AM,09,Tavush,true
AM,10,Vayots Dzor,true
AM,11,Yerevan,true
AO,19,Bengo,true
AO,01,Benguela,true
AO,02,Bíe,true
AO,03,Cabinda,true
AO,04,Cuando Cobango,true
AO,05,Cuanza Norte,true
AO,07,Cunene,true
AO,08,Huambo,true
AO,09,Huíla,true
AO,06,Kwanza Sul,true
AO,20,Luanda,true
AO,17,Luanda Norte,true
AO,18,Lunda Sul,true
AO,12,Malanje,true
AO,14,Moxico,true
AO,13,Namibe,true
AO,15,Uíge,true
AO,16,Zaire,true
AR,01,Buenos Aires,true
AR,07,Buenos Aires F.D.,true
AR,02,Catamarca,true
AR,03,Chaco,true
AR,04,Chubut,true
AR,05,Cordoba,true
AR,06,Corrientes,true
AR,08,Entre Rios,true
AR,09,Formosa,true
AR,10,Jujuy,true
AR,11,La Pampa,true
AR,12,La Rioja,true
